Set_Number,Set_Keyword,Pair_1,Pair_2,idk
44,chess,stimuli_exp1_jpg\\33a.jpg,stimuli_exp1_jpg\\33b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
44,chess,stimuli_exp1_jpg\\33a.jpg,stimuli_exp1_jpg\\33c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
44,chess,stimuli_exp1_jpg\\33d.jpg,stimuli_exp1_jpg\\33a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
44,chess,stimuli_exp1_jpg\\33c.jpg,stimuli_exp1_jpg\\33b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
44,chess,stimuli_exp1_jpg\\33d.jpg,stimuli_exp1_jpg\\33b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
44,chess,stimuli_exp1_jpg\\33d.jpg,stimuli_exp1_jpg\\33c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21a.jpg,stimuli_exp1_jpg\\21b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21c.jpg,stimuli_exp1_jpg\\21a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21d.jpg,stimuli_exp1_jpg\\21a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21c.jpg,stimuli_exp1_jpg\\21b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21b.jpg,stimuli_exp1_jpg\\21d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
37,pancake,stimuli_exp1_jpg\\21c.jpg,stimuli_exp1_jpg\\21d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37b.jpg,stimuli_exp1_jpg\\37a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37c.jpg,stimuli_exp1_jpg\\37a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37a.jpg,stimuli_exp1_jpg\\37d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37b.jpg,stimuli_exp1_jpg\\37c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37b.jpg,stimuli_exp1_jpg\\37d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
5,pasta_water,stimuli_exp1_jpg\\37d.jpg,stimuli_exp1_jpg\\37c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19a.jpg,stimuli_exp1_jpg\\19b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19a.jpg,stimuli_exp1_jpg\\19c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19a.jpg,stimuli_exp1_jpg\\19d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19c.jpg,stimuli_exp1_jpg\\19b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19d.jpg,stimuli_exp1_jpg\\19b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
6,soap_water,stimuli_exp1_jpg\\19d.jpg,stimuli_exp1_jpg\\19c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44a.jpg,stimuli_exp1_jpg\\44b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44a.jpg,stimuli_exp1_jpg\\44c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44d.jpg,stimuli_exp1_jpg\\44a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44b.jpg,stimuli_exp1_jpg\\44c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44b.jpg,stimuli_exp1_jpg\\44d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
46,socks,stimuli_exp1_jpg\\44d.jpg,stimuli_exp1_jpg\\44c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28b.jpg,stimuli_exp1_jpg\\28a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28a.jpg,stimuli_exp1_jpg\\28c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28a.jpg,stimuli_exp1_jpg\\28d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28b.jpg,stimuli_exp1_jpg\\28c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28b.jpg,stimuli_exp1_jpg\\28d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
33,ice_cream,stimuli_exp1_jpg\\28d.jpg,stimuli_exp1_jpg\\28c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46a.jpg,stimuli_exp1_jpg\\46b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46c.jpg,stimuli_exp1_jpg\\46a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46d.jpg,stimuli_exp1_jpg\\46a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46b.jpg,stimuli_exp1_jpg\\46c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46b.jpg,stimuli_exp1_jpg\\46d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
19,horses,stimuli_exp1_jpg\\46c.jpg,stimuli_exp1_jpg\\46d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39b.jpg,stimuli_exp1_jpg\\39a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39a.jpg,stimuli_exp1_jpg\\39c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39d.jpg,stimuli_exp1_jpg\\39a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39b.jpg,stimuli_exp1_jpg\\39c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39d.jpg,stimuli_exp1_jpg\\39b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
17,postcards,stimuli_exp1_jpg\\39c.jpg,stimuli_exp1_jpg\\39d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5a.jpg,stimuli_exp1_jpg\\5b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5c.jpg,stimuli_exp1_jpg\\5a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5a.jpg,stimuli_exp1_jpg\\5d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5b.jpg,stimuli_exp1_jpg\\5c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5b.jpg,stimuli_exp1_jpg\\5d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
39,seashells,stimuli_exp1_jpg\\5c.jpg,stimuli_exp1_jpg\\5d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48a.jpg,stimuli_exp1_jpg\\48b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48c.jpg,stimuli_exp1_jpg\\48a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48d.jpg,stimuli_exp1_jpg\\48a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48b.jpg,stimuli_exp1_jpg\\48c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48b.jpg,stimuli_exp1_jpg\\48d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
48,ski_poles,stimuli_exp1_jpg\\48d.jpg,stimuli_exp1_jpg\\48c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14b.jpg,stimuli_exp1_jpg\\14a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14c.jpg,stimuli_exp1_jpg\\14a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14d.jpg,stimuli_exp1_jpg\\14a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14c.jpg,stimuli_exp1_jpg\\14b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14b.jpg,stimuli_exp1_jpg\\14d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
23,candles,stimuli_exp1_jpg\\14c.jpg,stimuli_exp1_jpg\\14d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30a.jpg,stimuli_exp1_jpg\\30b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30c.jpg,stimuli_exp1_jpg\\30a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30d.jpg,stimuli_exp1_jpg\\30a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30b.jpg,stimuli_exp1_jpg\\30c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30d.jpg,stimuli_exp1_jpg\\30b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
30,log,stimuli_exp1_jpg\\30d.jpg,stimuli_exp1_jpg\\30c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16a.jpg,stimuli_exp1_jpg\\16b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16c.jpg,stimuli_exp1_jpg\\16a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16a.jpg,stimuli_exp1_jpg\\16d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16b.jpg,stimuli_exp1_jpg\\16c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16d.jpg,stimuli_exp1_jpg\\16b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
41,balloons,stimuli_exp1_jpg\\16c.jpg,stimuli_exp1_jpg\\16d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41a.jpg,stimuli_exp1_jpg\\41b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41c.jpg,stimuli_exp1_jpg\\41a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41a.jpg,stimuli_exp1_jpg\\41d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41c.jpg,stimuli_exp1_jpg\\41b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41d.jpg,stimuli_exp1_jpg\\41b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
16,dogs_running,stimuli_exp1_jpg\\41c.jpg,stimuli_exp1_jpg\\41d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12a.jpg,stimuli_exp1_jpg\\12b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12c.jpg,stimuli_exp1_jpg\\12a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12d.jpg,stimuli_exp1_jpg\\12a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12c.jpg,stimuli_exp1_jpg\\12b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12d.jpg,stimuli_exp1_jpg\\12b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
12,flipflops,stimuli_exp1_jpg\\12d.jpg,stimuli_exp1_jpg\\12c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35a.jpg,stimuli_exp1_jpg\\35b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35a.jpg,stimuli_exp1_jpg\\35c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35d.jpg,stimuli_exp1_jpg\\35a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35c.jpg,stimuli_exp1_jpg\\35b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35d.jpg,stimuli_exp1_jpg\\35b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
14,ribbons,stimuli_exp1_jpg\\35c.jpg,stimuli_exp1_jpg\\35d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43b.jpg,stimuli_exp1_jpg\\43a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43c.jpg,stimuli_exp1_jpg\\43a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43d.jpg,stimuli_exp1_jpg\\43a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43b.jpg,stimuli_exp1_jpg\\43c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43d.jpg,stimuli_exp1_jpg\\43b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
25,camera,stimuli_exp1_jpg\\43c.jpg,stimuli_exp1_jpg\\43d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23b.jpg,stimuli_exp1_jpg\\23a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23c.jpg,stimuli_exp1_jpg\\23a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23a.jpg,stimuli_exp1_jpg\\23d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23c.jpg,stimuli_exp1_jpg\\23b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23d.jpg,stimuli_exp1_jpg\\23b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
35,tennis_ball,stimuli_exp1_jpg\\23d.jpg,stimuli_exp1_jpg\\23c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29a.jpg,stimuli_exp1_jpg\\29b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29a.jpg,stimuli_exp1_jpg\\29c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29a.jpg,stimuli_exp1_jpg\\29d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29b.jpg,stimuli_exp1_jpg\\29c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29b.jpg,stimuli_exp1_jpg\\29d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
43,yarn,stimuli_exp1_jpg\\29d.jpg,stimuli_exp1_jpg\\29c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38b.jpg,stimuli_exp1_jpg\\38a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38c.jpg,stimuli_exp1_jpg\\38a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38a.jpg,stimuli_exp1_jpg\\38d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38c.jpg,stimuli_exp1_jpg\\38b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38d.jpg,stimuli_exp1_jpg\\38b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
38,croissant,stimuli_exp1_jpg\\38c.jpg,stimuli_exp1_jpg\\38d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25a.jpg,stimuli_exp1_jpg\\25b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25c.jpg,stimuli_exp1_jpg\\25a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25a.jpg,stimuli_exp1_jpg\\25d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25c.jpg,stimuli_exp1_jpg\\25b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25d.jpg,stimuli_exp1_jpg\\25b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
7,motorcycle,stimuli_exp1_jpg\\25d.jpg,stimuli_exp1_jpg\\25c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7b.jpg,stimuli_exp1_jpg\\7a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7a.jpg,stimuli_exp1_jpg\\7c.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7d.jpg,stimuli_exp1_jpg\\7a.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7c.jpg,stimuli_exp1_jpg\\7b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7d.jpg,stimuli_exp1_jpg\\7b.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
29,pumpkin,stimuli_exp1_jpg\\7c.jpg,stimuli_exp1_jpg\\7d.jpg,"('Very\nsimilar', '', '', '', '', '', 'Very\ndissimilar')"
