"Set_Number","Set_Keyword","Pair_1","Pair_2"
38,"croissant","stimuli_exp1_jpg\\38d.jpg","stimuli_exp1_jpg\\38b.jpg"
38,"croissant","stimuli_exp1_jpg\\38c.jpg","stimuli_exp1_jpg\\38d.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25a.jpg","stimuli_exp1_jpg\\25b.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25c.jpg","stimuli_exp1_jpg\\25a.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25a.jpg","stimuli_exp1_jpg\\25d.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25c.jpg","stimuli_exp1_jpg\\25b.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25d.jpg","stimuli_exp1_jpg\\25b.jpg"
7,"motorcycle","stimuli_exp1_jpg\\25d.jpg","stimuli_exp1_jpg\\25c.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7b.jpg","stimuli_exp1_jpg\\7a.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7a.jpg","stimuli_exp1_jpg\\7c.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7d.jpg","stimuli_exp1_jpg\\7a.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7c.jpg","stimuli_exp1_jpg\\7b.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7d.jpg","stimuli_exp1_jpg\\7b.jpg"
29,"pumpkin","stimuli_exp1_jpg\\7c.jpg","stimuli_exp1_jpg\\7d.jpg"
